wx_count,mprotect_sum,ptrace_sum,syscall_rate,blocked_ratio,uid_is_root,event_burst_ratio,unique_event_diversity,label
4,2,1,313.51,0.891,1,4.51,0.748,1
0,2,0,34.05,0.03,0,0.56,0.338,0
0,1,0,17.26,0.009,0,0.86,0.167,0
5,3,1,193.64,0.249,0,4.81,0.971,1
0,1,0,32.67,0.007,0,1.08,0.382,0
0,1,0,35.15,0.023,0,1.41,0.356,0
1,4,3,108.03,0.375,0,6.08,0.57,1
6,3,1,312.11,0.509,1,2.41,0.624,1
0,0,0,1.03,0.032,0,1.18,0.388,0
0,2,0,28.35,0.049,1,0.21,0.196,0
2,4,3,498.88,0.224,0,8.45,0.86,1
0,0,0,3.37,0.028,0,0.62,0.236,0
5,8,2,415.82,0.377,1,8.91,1.0,1
1,0,0,8.3,0.029,0,1.47,0.308,0
5,7,0,417.76,0.65,1,3.65,0.552,1
0,1,0,18.64,0.026,0,0.87,0.342,0
5,8,2,287.05,0.354,1,5.59,0.709,1
0,0,0,37.92,0.044,0,1.11,0.135,0
0,2,0,31.01,0.027,0,0.6,0.139,0
0,1,0,37.14,0.008,0,0.62,0.103,0
1,7,0,321.61,0.855,1,2.43,0.675,1
0,1,0,5.27,0.02,0,1.49,0.24,0
4,2,3,60.09,0.586,1,5.25,0.844,1
0,0,0,18.99,0.011,1,1.28,0.168,0
7,5,3,346.37,0.598,0,8.89,0.667,1
0,1,0,25.48,0.046,0,1.43,0.2,0
0,0,0,22.7,0.049,0,1.2,0.337,0
1,2,3,143.74,0.314,0,6.44,0.766,1
0,1,0,26.57,0.04,0,0.65,0.215,0
0,2,0,13.31,0.047,0,1.17,0.2,0
7,3,1,72.02,0.641,0,5.22,0.541,1
4,4,2,337.46,0.826,1,4.63,0.684,1
0,1,0,27.55,0.01,0,0.25,0.27,0
10,2,3,117.12,0.152,0,4.27,0.726,1
0,2,0,7.37,0.04,0,0.47,0.351,0
2,4,2,170.21,0.673,0,3.01,0.813,1
0,1,0,34.92,0.035,0,1.23,0.259,0
10,7,0,465.61,0.605,1,4.41,0.947,1
0,0,0,34.66,0.042,0,1.14,0.323,0
0,1,0,18.15,0.018,1,0.96,0.318,0
0,2,0,3.81,0.023,0,0.55,0.11,0
0,2,0,24.47,0.021,0,0.27,0.262,0
0,2,0,27.99,0.028,0,1.32,0.305,0
0,1,0,24.95,0.03,0,1.36,0.227,0
0,2,0,39.01,0.042,0,0.84,0.102,0
0,0,0,35.76,0.025,0,1.29,0.217,0
0,1,0,27.05,0.028,0,1.05,0.344,0
0,2,0,9.45,0.047,0,0.54,0.254,0
10,2,0,76.72,0.141,1,3.96,0.809,1
3,6,1,132.55,0.722,1,9.65,0.781,1
0,2,0,3.82,0.001,0,0.9,0.178,0
7,7,1,311.21,0.872,1,5.92,0.584,1
0,1,0,8.77,0.007,0,0.8,0.387,0
1,6,2,52.28,0.157,0,9.16,0.769,1
1,6,2,349.18,0.699,1,9.0,0.872,1
0,0,0,28.67,0.004,1,1.37,0.324,0
0,1,0,29.42,0.041,0,1.34,0.264,0
2,3,0,410.86,0.321,0,2.55,0.8,1
5,8,3,359.26,0.492,1,3.91,0.818,1
4,5,3,376.21,0.59,0,3.37,0.846,1
0,0,0,1.09,0.002,0,1.16,0.145,0
0,0,0,30.2,0.039,1,0.43,0.343,0
1,7,2,71.21,0.837,0,6.28,0.56,1
2,2,2,354.62,0.177,0,5.96,0.734,1
1,4,3,270.07,0.724,0,7.16,0.953,1
3,6,0,78.71,0.447,0,3.2,0.8,1
7,3,0,483.26,0.808,0,8.55,0.733,1
5,7,2,152.45,0.178,1,9.95,0.655,1
5,2,2,394.6,0.694,1,8.23,0.503,1
0,2,0,14.8,0.001,0,0.16,0.334,0
2,2,1,451.32,0.528,1,5.37,0.515,1
1,8,2,366.12,0.555,1,6.81,0.766,1
10,6,0,491.08,0.343,1,6.76,0.806,1
0,1,0,12.02,0.021,0,1.05,0.356,0
8,4,2,306.84,0.334,1,6.13,0.965,1
9,8,2,129.56,0.651,0,9.8,0.934,1
7,7,2,322.54,0.326,1,4.37,0.877,1
0,2,0,15.3,0.039,0,1.2,0.219,0
10,5,3,322.26,0.152,1,8.16,0.553,1
0,2,0,6.8,0.002,0,0.17,0.241,0
0,0,0,24.47,0.026,0,0.59,0.313,0
1,0,0,5.35,0.013,0,1.12,0.206,0
0,2,0,17.07,0.025,0,0.21,0.365,0
0,0,0,38.74,0.016,0,1.33,0.196,0
4,7,2,359.99,0.839,1,3.27,0.729,1
1,8,1,278.85,0.375,1,7.59,0.749,1
0,2,0,16.73,0.012,0,0.37,0.182,0
3,5,0,97.87,0.196,1,6.49,0.679,1
0,0,0,35.62,0.047,1,0.38,0.326,0
8,8,0,83.6,0.684,1,3.81,0.549,1
0,1,0,18.19,0.021,0,0.4,0.274,0
0,0,0,18.21,0.023,0,1.11,0.253,0
1,2,0,27.48,0.023,0,0.18,0.161,0
0,0,0,3.35,0.045,0,0.24,0.238,0
0,2,0,11.11,0.002,0,0.27,0.176,0
7,6,2,206.24,0.603,1,3.97,0.887,1
0,1,0,15.07,0.026,0,1.27,0.316,0
4,4,2,461.46,0.32,0,2.21,0.873,1
6,8,0,163.36,0.871,1,3.75,0.94,1
0,2,0,38.87,0.049,0,0.1,0.144,0
0,1,0,14.2,0.042,0,0.49,0.117,0
5,3,2,272.31,0.339,1,2.14,0.915,1
0,1,0,28.0,0.022,0,1.12,0.15,0
0,0,0,2.61,0.014,0,0.5,0.376,0
0,2,0,39.25,0.02,0,1.12,0.271,0
6,7,0,57.24,0.122,1,4.44,0.778,1
1,7,2,430.85,0.4,0,6.13,0.79,1
6,3,2,429.81,0.361,0,3.26,0.681,1
0,1,0,38.7,0.036,0,0.31,0.151,0
0,2,0,33.38,0.03,1,0.58,0.384,0
2,2,2,215.12,0.833,1,7.7,0.721,1
0,1,0,39.23,0.018,1,1.12,0.355,0
10,7,1,90.87,0.536,1,8.36,0.8,1
10,5,2,407.47,0.734,0,2.87,0.511,1
0,1,0,14.69,0.035,0,0.35,0.302,0
1,8,2,487.77,0.297,1,8.03,0.68,1
8,4,2,284.01,0.367,1,4.38,0.847,1
7,3,1,260.2,0.685,0,8.88,0.696,1
0,2,0,12.1,0.04,0,0.17,0.25,0
0,1,0,9.34,0.036,0,1.34,0.155,0
8,7,1,273.4,0.856,1,7.27,0.661,1
0,2,0,22.97,0.047,0,1.22,0.156,0
7,8,0,52.25,0.173,1,5.76,0.778,1
4,7,0,434.13,0.57,0,5.26,0.761,1
5,6,3,339.49,0.799,0,6.46,0.629,1
7,2,2,463.43,0.656,1,7.63,0.716,1
2,6,2,301.22,0.35,0,6.7,0.902,1
3,3,0,373.73,0.714,1,3.87,0.816,1
6,5,0,164.59,0.157,1,4.8,0.685,1
0,0,0,5.3,0.035,0,1.3,0.188,0
6,4,2,130.65,0.667,1,3.08,0.705,1
0,2,0,36.87,0.004,0,0.12,0.378,0
0,0,0,33.25,0.031,0,1.15,0.128,0
0,0,0,8.09,0.041,1,1.15,0.322,0
3,2,1,277.93,0.859,0,7.58,0.936,1
0,0,0,31.53,0.021,0,1.03,0.3,0
8,5,3,427.93,0.33,1,8.31,0.741,1
0,2,0,35.62,0.014,0,0.41,0.364,0
9,8,1,313.4,0.789,0,6.83,0.887,1
0,0,0,10.14,0.023,0,0.24,0.114,0
7,2,1,264.39,0.485,0,4.55,0.709,1
0,1,0,37.83,0.012,0,0.59,0.317,0
3,5,2,405.18,0.45,1,5.67,0.654,1
0,2,0,6.92,0.04,0,0.96,0.248,0
1,5,1,339.6,0.304,1,3.28,0.607,1
0,2,0,28.15,0.034,0,1.38,0.144,0
0,0,0,26.05,0.043,0,0.91,0.362,0
9,4,0,238.03,0.82,0,8.99,0.629,1
4,2,1,82.06,0.826,0,7.58,0.538,1
0,0,0,27.73,0.002,0,0.75,0.213,0
2,8,2,308.84,0.391,1,9.24,0.51,1
0,0,0,17.56,0.028,0,0.48,0.33,0
0,2,0,22.36,0.009,0,1.31,0.384,0
2,2,1,172.16,0.847,1,9.38,0.555,1
0,0,0,24.12,0.002,0,1.23,0.217,0
8,2,3,129.52,0.628,1,7.72,0.919,1
6,5,1,419.82,0.514,1,6.42,0.807,1
0,0,0,2.28,0.023,1,0.51,0.359,0
0,0,0,11.76,0.029,0,0.79,0.163,0
0,2,0,20.9,0.014,0,0.99,0.323,0
0,1,0,11.95,0.0,0,0.66,0.12,0
0,1,0,25.14,0.04,0,0.86,0.298,0
5,8,2,110.15,0.478,1,6.37,0.571,1
5,5,1,372.88,0.815,0,3.69,0.68,1
5,3,1,359.75,0.211,1,6.2,0.973,1
9,8,0,437.12,0.534,1,6.78,0.512,1
0,1,0,26.9,0.03,0,0.59,0.107,0
8,3,0,216.5,0.583,1,9.5,0.727,1
0,1,0,26.31,0.042,0,1.22,0.342,0
8,4,2,375.28,0.352,0,2.75,0.933,1
0,1,0,7.12,0.039,1,1.19,0.334,0
2,6,2,168.62,0.463,1,8.93,0.587,1
2,2,1,431.5,0.64,1,4.7,0.827,1
0,0,0,22.3,0.041,0,0.66,0.329,0
1,2,3,170.82,0.187,0,9.38,0.788,1
10,2,3,462.25,0.35,0,3.4,0.517,1
0,2,0,10.31,0.047,1,0.22,0.321,0
7,7,1,466.12,0.739,1,5.23,0.637,1
6,5,1,372.46,0.435,1,6.84,0.806,1
0,2,0,2.77,0.002,0,0.86,0.162,0
0,2,0,24.99,0.031,0,0.49,0.388,0
0,2,0,1.95,0.031,0,0.61,0.137,0
4,7,3,335.26,0.498,1,4.13,0.969,1
0,0,0,39.49,0.014,0,1.15,0.32,0
5,2,1,433.68,0.134,1,4.39,0.97,1
8,5,3,110.76,0.464,0,4.48,0.748,1
0,0,0,12.82,0.018,0,0.35,0.202,0
0,0,0,21.56,0.044,0,0.18,0.36,0
0,0,0,33.79,0.037,0,0.13,0.202,0
4,3,3,432.08,0.741,0,7.04,0.811,1
1,8,0,286.44,0.536,0,9.66,0.973,1
9,8,1,421.53,0.319,0,4.61,0.704,1
9,8,1,208.79,0.434,0,4.65,0.503,1
5,3,0,111.08,0.442,1,9.57,0.594,1
0,0,0,11.2,0.01,0,1.38,0.223,0
0,1,0,23.94,0.037,0,0.67,0.387,0
0,1,0,8.34,0.035,0,1.16,0.124,0
5,4,0,453.11,0.756,1,9.68,0.899,1
1,7,0,180.04,0.235,1,7.13,0.884,1
5,8,1,80.67,0.324,1,2.96,0.85,1
0,0,0,30.51,0.017,0,0.12,0.284,0
6,7,1,323.4,0.574,1,4.82,0.977,1
1,2,0,9.89,0.014,0,0.42,0.362,0
0,0,0,25.58,0.008,0,1.19,0.243,0
0,0,0,17.01,0.011,0,1.38,0.326,0
6,8,2,238.47,0.389,1,9.12,0.794,1
0,0,0,27.37,0.014,1,0.53,0.25,0
1,2,0,5.41,0.044,0,0.18,0.336,0
8,6,3,214.79,0.435,1,2.91,0.659,1
6,4,0,184.08,0.775,0,3.51,0.636,1
0,0,0,39.97,0.029,0,1.38,0.288,0
10,7,1,102.47,0.819,1,3.09,0.929,1
0,1,0,9.73,0.021,0,0.8,0.299,0
0,2,0,19.88,0.035,0,0.78,0.211,0
0,2,0,21.14,0.025,0,1.12,0.254,0
0,1,0,11.0,0.016,0,1.1,0.193,0
2,5,2,267.74,0.728,1,3.06,0.729,1
6,6,2,296.23,0.475,1,7.48,0.617,1
5,8,3,187.28,0.632,1,4.41,0.795,1
5,8,3,443.33,0.879,0,6.44,0.542,1
7,2,1,296.41,0.591,0,6.38,0.648,1
9,6,2,175.64,0.125,0,2.13,0.5,1
4,2,1,445.57,0.392,1,2.05,0.816,1
1,3,3,143.22,0.652,1,6.27,0.748,1
1,3,1,473.15,0.625,1,6.17,0.77,1
9,4,1,238.37,0.356,1,9.42,0.542,1
2,7,3,170.74,0.722,1,2.92,0.765,1
5,5,0,379.35,0.883,1,6.28,0.789,1
9,2,3,436.45,0.484,0,2.87,0.511,1
0,2,0,18.23,0.038,0,1.17,0.232,0
0,0,0,15.63,0.021,0,0.42,0.251,0
9,5,3,167.22,0.213,1,9.5,0.605,1
0,2,0,38.1,0.049,0,0.16,0.174,0
3,6,1,166.93,0.376,1,8.87,0.97,1
0,0,0,30.1,0.019,0,0.41,0.349,0
0,0,0,24.05,0.015,0,1.0,0.218,0
0,1,0,6.53,0.035,0,0.12,0.119,0
5,3,3,433.97,0.204,0,3.61,0.658,1
0,2,0,16.29,0.034,1,0.1,0.245,0
4,6,3,488.33,0.8,0,6.76,0.731,1
0,0,0,17.82,0.015,0,0.96,0.157,0
0,1,0,10.7,0.024,0,0.51,0.203,0
0,2,0,7.73,0.005,0,1.47,0.293,0
7,6,0,484.29,0.785,0,8.47,0.633,1
3,7,2,144.86,0.458,1,5.3,0.637,1
10,4,3,448.03,0.759,1,5.48,0.845,1
1,0,0,18.33,0.015,0,0.15,0.314,0
0,2,0,26.75,0.015,0,0.16,0.308,0
7,7,1,164.33,0.863,0,5.65,0.678,1
0,0,0,10.03,0.011,0,0.97,0.315,0
5,4,0,354.32,0.694,1,4.96,0.881,1
0,1,0,28.91,0.042,1,0.25,0.329,0
9,6,3,173.84,0.52,0,4.86,0.866,1
5,6,0,489.81,0.396,1,8.16,0.741,1
5,2,1,335.15,0.105,0,6.53,0.565,1
0,0,0,1.1,0.045,1,0.62,0.146,0
7,3,2,442.51,0.556,1,2.42,0.839,1
0,0,0,20.1,0.047,0,1.4,0.13,0
0,0,0,19.32,0.036,0,1.39,0.179,0
0,1,0,36.1,0.019,0,1.04,0.321,0
1,8,3,406.5,0.509,1,6.86,0.778,1
6,5,2,418.53,0.424,1,8.5,0.615,1
0,2,0,32.31,0.004,0,0.82,0.116,0
3,2,3,304.23,0.422,1,3.65,0.801,1
3,5,3,419.55,0.335,0,3.91,0.664,1
9,5,3,331.18,0.72,0,7.57,0.592,1
4,5,3,436.1,0.728,0,3.14,0.708,1
0,1,0,1.88,0.025,0,1.36,0.347,0
6,6,0,106.56,0.71,1,7.6,0.683,1
0,0,0,20.28,0.038,0,0.81,0.197,0
0,0,0,23.19,0.032,0,0.81,0.172,0
1,0,0,10.15,0.041,0,0.6,0.128,0
10,5,1,224.95,0.25,1,4.27,0.601,1
4,5,0,264.98,0.249,0,9.5,0.718,1
2,6,2,327.91,0.772,0,6.15,0.59,1
0,0,0,36.56,0.003,0,1.13,0.231,0
0,1,0,37.51,0.023,0,1.28,0.231,0
0,2,0,10.6,0.032,0,1.17,0.111,0
10,8,2,101.67,0.102,1,8.67,0.9,1
0,1,0,18.96,0.031,1,0.58,0.349,0
4,7,2,268.36,0.831,1,5.28,0.743,1
0,2,0,36.42,0.011,0,0.76,0.357,0
0,1,0,39.83,0.023,0,0.66,0.325,0
10,3,3,388.03,0.464,1,2.97,0.59,1
5,6,1,320.88,0.324,1,3.12,0.794,1
7,8,1,126.03,0.665,1,6.26,0.866,1
0,0,0,3.93,0.049,0,0.3,0.26,0
5,6,0,482.44,0.305,0,6.61,0.927,1
4,2,3,73.62,0.235,0,6.6,0.781,1
0,1,0,12.28,0.01,0,0.22,0.162,0
0,1,0,20.17,0.008,0,1.38,0.194,0
3,4,0,458.92,0.196,1,9.76,0.981,1
9,3,2,305.76,0.627,1,4.49,0.555,1
4,4,3,271.16,0.147,0,2.46,0.882,1
10,4,0,362.59,0.791,1,2.91,0.66,1
10,4,0,55.19,0.484,1,5.51,0.92,1
2,2,0,206.53,0.526,1,8.48,0.871,1
0,0,0,30.45,0.004,0,0.3,0.234,0
1,7,1,166.38,0.318,1,2.37,0.782,1
3,5,2,398.62,0.497,1,4.34,0.618,1
0,2,0,18.89,0.015,0,0.91,0.276,0
6,5,2,228.62,0.184,1,6.65,0.591,1
8,4,3,424.42,0.836,1,8.18,0.676,1
3,5,2,458.39,0.436,1,4.85,0.509,1
9,6,1,472.97,0.479,0,3.4,0.782,1
0,2,0,24.87,0.038,0,0.25,0.23,0
0,2,0,33.68,0.042,0,0.5,0.18,0
0,0,0,21.16,0.015,1,0.11,0.268,0
6,2,3,187.07,0.162,1,8.47,0.701,1
9,8,3,147.38,0.179,1,8.06,0.672,1
0,2,0,34.94,0.021,0,0.41,0.178,0
0,2,0,2.34,0.036,0,0.6,0.262,0
9,8,1,453.03,0.562,0,4.1,0.822,1
4,4,1,339.83,0.372,1,2.36,0.545,1
1,3,2,183.09,0.588,1,2.14,0.529,1
0,0,0,31.1,0.003,0,1.47,0.201,0
2,2,2,385.71,0.83,1,4.87,0.769,1
0,1,0,31.8,0.022,0,0.49,0.298,0
7,5,2,377.73,0.65,1,8.14,0.733,1
10,7,2,372.3,0.649,0,4.64,0.536,1
4,2,0,199.31,0.205,1,7.15,0.758,1
7,3,3,404.72,0.1,0,3.16,0.503,1
0,2,0,3.33,0.024,0,0.66,0.101,0
0,2,0,38.38,0.023,0,0.65,0.168,0
6,8,1,263.28,0.257,1,3.08,0.854,1
0,0,0,19.32,0.042,0,1.29,0.31,0
0,1,0,27.87,0.049,0,1.39,0.349,0
3,6,2,391.6,0.443,0,9.06,0.574,1
7,8,0,119.93,0.443,1,8.12,0.733,1
0,2,0,30.4,0.036,0,0.71,0.253,0
0,2,0,39.31,0.035,0,0.53,0.24,0
0,2,0,20.5,0.04,0,1.32,0.149,0
1,2,0,316.58,0.693,1,2.22,0.909,1
0,1,0,37.13,0.045,0,0.97,0.138,0
0,0,0,39.39,0.041,0,0.61,0.227,0
0,1,0,26.68,0.025,0,0.36,0.306,0
3,7,3,240.67,0.164,0,2.76,0.932,1
8,3,1,100.92,0.849,1,3.84,0.697,1
8,7,1,148.39,0.118,0,7.04,0.727,1
7,5,3,93.21,0.467,1,6.29,0.539,1
4,5,1,239.54,0.145,0,6.59,0.607,1
0,0,0,18.15,0.002,1,1.13,0.186,0
0,0,0,37.36,0.021,0,0.56,0.271,0
3,4,0,149.55,0.259,1,2.23,0.967,1
0,2,0,28.47,0.035,0,0.72,0.135,0
0,2,0,6.47,0.019,0,1.39,0.201,0
10,4,1,303.73,0.828,1,4.07,0.871,1
1,7,1,409.29,0.448,1,5.99,0.689,1
1,1,0,22.32,0.049,0,1.46,0.171,0
3,6,1,101.61,0.122,0,3.44,0.891,1
0,1,0,20.43,0.036,0,0.58,0.277,0
0,1,0,24.86,0.023,0,0.72,0.316,0
5,4,2,385.62,0.465,1,8.06,0.764,1
8,3,3,433.27,0.858,0,2.4,0.893,1
10,7,0,489.82,0.136,1,5.36,0.717,1
0,0,0,8.32,0.049,0,0.66,0.32,0
7,6,0,356.75,0.523,0,7.1,0.995,1
3,5,0,339.5,0.358,0,2.14,0.684,1
0,0,0,25.55,0.035,0,0.33,0.181,0
8,3,1,119.42,0.397,0,2.14,0.957,1
4,3,1,391.3,0.208,1,5.91,0.652,1
0,1,0,10.03,0.037,0,0.52,0.137,0
0,2,0,39.69,0.037,0,1.34,0.284,0
6,6,3,124.65,0.551,1,4.21,0.61,1
5,7,3,395.11,0.553,1,4.79,0.536,1
0,0,0,17.85,0.047,0,1.44,0.363,0
9,7,2,390.92,0.578,1,10.0,0.758,1
0,2,0,33.95,0.043,0,0.8,0.11,0
0,0,0,39.16,0.041,0,1.47,0.327,0
0,2,0,24.33,0.003,1,1.29,0.36,0
0,0,0,22.63,0.036,0,0.62,0.159,0
0,1,0,23.22,0.032,1,0.82,0.204,0
0,2,0,22.18,0.026,0,0.19,0.123,0
5,2,2,109.93,0.277,1,6.56,0.971,1
0,0,0,3.08,0.033,0,0.18,0.222,0
0,0,0,10.55,0.009,0,0.73,0.316,0
0,1,0,4.25,0.01,0,0.22,0.197,0
9,6,1,159.2,0.148,1,9.62,0.66,1
0,1,0,6.01,0.009,0,0.9,0.37,0
0,2,0,34.03,0.04,0,0.64,0.37,0
0,2,0,12.84,0.041,0,1.4,0.353,0
0,1,0,3.82,0.023,0,0.74,0.257,0
0,0,0,12.02,0.038,1,0.84,0.254,0
8,7,1,226.98,0.417,1,7.31,0.829,1
0,2,0,7.34,0.044,0,0.39,0.161,0
0,1,0,24.79,0.036,0,1.11,0.317,0
8,6,1,240.44,0.114,1,3.26,0.509,1
0,1,0,31.16,0.028,0,0.74,0.321,0
0,1,0,27.52,0.019,0,1.34,0.371,0
10,8,2,235.65,0.22,0,8.13,0.525,1
4,2,3,62.94,0.616,1,7.97,0.72,1
10,2,1,447.52,0.283,1,3.82,0.688,1
10,3,1,78.82,0.296,1,3.03,0.897,1
6,4,2,96.06,0.648,1,9.98,0.796,1
0,0,0,4.54,0.007,0,0.42,0.193,0
6,4,2,451.4,0.298,1,6.95,0.749,1
0,0,0,27.08,0.024,0,1.46,0.396,0
5,6,3,413.79,0.495,1,4.07,0.529,1
0,1,0,26.95,0.049,0,0.8,0.242,0
10,4,0,404.85,0.636,1,3.65,0.769,1
0,0,0,19.04,0.009,0,1.24,0.127,0
0,2,0,32.93,0.043,0,0.47,0.288,0
0,2,0,32.65,0.006,0,1.48,0.253,0
3,4,2,190.41,0.855,0,6.44,0.876,1
9,5,3,424.26,0.218,1,3.5,0.665,1
0,1,0,21.16,0.023,0,1.47,0.156,0
6,7,3,204.86,0.227,1,4.76,0.571,1
0,2,0,16.46,0.025,0,0.59,0.113,0
10,7,0,407.29,0.774,1,5.54,0.643,1
0,0,0,9.16,0.035,0,0.97,0.304,0
0,2,0,36.45,0.013,0,0.34,0.262,0
2,7,0,265.44,0.492,1,5.0,0.692,1
2,4,1,71.23,0.408,0,9.34,0.735,1
0,2,0,24.56,0.041,0,0.54,0.396,0
0,2,0,23.33,0.008,0,0.66,0.301,0
0,2,0,19.53,0.037,0,0.75,0.255,0
0,2,0,34.78,0.016,0,1.21,0.289,0
0,1,0,38.27,0.001,0,0.5,0.168,0
0,0,0,9.18,0.049,0,1.34,0.32,0
1,2,3,200.36,0.346,0,3.21,0.994,1
0,0,0,32.65,0.004,0,0.71,0.213,0
8,6,1,485.36,0.624,0,5.56,0.932,1
8,6,3,372.99,0.606,0,9.65,0.973,1
5,4,0,350.45,0.457,1,3.27,0.908,1
0,2,0,30.01,0.047,0,1.42,0.166,0
0,0,0,14.57,0.031,0,0.63,0.169,0
0,0,0,34.39,0.012,0,0.13,0.327,0
0,0,0,10.15,0.047,0,1.17,0.116,0
0,2,0,12.65,0.012,0,0.44,0.354,0
0,2,0,10.24,0.016,0,0.75,0.268,0
0,0,0,2.63,0.035,0,0.81,0.315,0
10,6,0,144.51,0.576,0,6.81,0.901,1
9,5,1,306.9,0.624,0,5.6,0.962,1
0,1,0,23.88,0.048,0,0.38,0.219,0
2,4,3,474.75,0.366,1,8.91,0.899,1
0,2,0,3.42,0.001,0,1.44,0.211,0
7,5,2,104.66,0.793,0,2.3,0.875,1
5,4,2,173.85,0.573,1,6.77,0.827,1
8,2,3,182.43,0.213,1,7.51,0.501,1
0,0,0,6.22,0.017,0,1.19,0.357,0
0,2,0,16.67,0.001,0,0.56,0.267,0
2,3,1,378.85,0.382,0,3.06,0.586,1
0,2,0,6.34,0.04,1,0.91,0.221,0
10,8,2,118.79,0.716,1,2.02,0.738,1
0,0,0,24.73,0.044,0,0.84,0.32,0
2,4,1,76.46,0.247,1,9.14,0.584,1
9,6,3,144.99,0.432,0,2.75,0.692,1
7,3,1,203.91,0.524,0,2.75,0.522,1
0,0,0,8.63,0.037,0,1.02,0.239,0
0,2,0,26.65,0.022,0,0.92,0.198,0
10,5,3,159.28,0.62,1,4.9,0.819,1
6,6,1,301.79,0.761,1,3.76,0.622,1
0,2,0,33.08,0.018,0,0.91,0.371,0
9,7,3,282.2,0.221,1,9.15,0.505,1
0,0,0,12.94,0.04,0,0.9,0.219,0
1,8,1,158.31,0.767,1,4.54,0.915,1
0,1,0,20.83,0.011,1,0.83,0.359,0
9,6,3,376.45,0.613,1,9.06,0.7,1
0,2,0,39.69,0.043,0,1.0,0.305,0
2,2,2,335.36,0.654,0,8.95,0.549,1
7,8,3,142.96,0.673,1,5.48,0.711,1
0,0,0,36.38,0.044,0,0.45,0.321,0
0,2,0,25.42,0.021,0,1.44,0.294,0
2,4,2,484.2,0.625,0,5.13,0.94,1
0,0,0,36.34,0.011,0,1.15,0.305,0
0,1,0,6.26,0.034,0,0.41,0.16,0
0,0,0,37.18,0.04,0,1.28,0.22,0
6,7,1,232.17,0.157,0,7.86,0.657,1
8,2,2,101.51,0.84,1,8.12,0.952,1
0,2,0,2.98,0.018,0,0.35,0.311,0
4,2,3,393.23,0.579,1,4.98,0.72,1
6,7,3,115.34,0.839,0,7.71,0.633,1
0,2,0,3.64,0.027,0,0.82,0.166,0
1,2,0,35.3,0.014,0,0.6,0.311,0
9,7,1,432.81,0.596,0,2.53,0.724,1
0,0,0,25.04,0.012,0,0.63,0.151,0
5,3,2,274.56,0.129,1,2.6,0.851,1
4,6,1,245.32,0.801,0,4.28,0.636,1
0,0,0,27.01,0.008,0,0.21,0.222,0
6,2,1,205.58,0.891,1,2.81,0.794,1
0,1,0,7.76,0.014,0,0.18,0.127,0
0,2,0,9.87,0.038,0,0.32,0.173,0
5,7,0,373.76,0.463,1,2.97,0.528,1
6,2,1,476.91,0.154,0,5.26,0.769,1
7,3,3,289.89,0.741,0,3.68,0.927,1
0,1,0,30.47,0.035,0,0.97,0.17,0
0,1,0,7.39,0.034,0,0.47,0.184,0
6,5,2,216.1,0.119,0,2.55,0.757,1
0,2,0,37.3,0.041,0,0.96,0.161,0
0,1,0,12.48,0.026,0,0.67,0.349,0
0,2,0,20.37,0.044,0,0.4,0.281,0
3,8,2,305.91,0.151,1,5.26,0.731,1
0,2,0,16.55,0.032,0,0.47,0.326,0
6,6,1,405.21,0.113,1,2.44,0.681,1
7,5,0,108.28,0.156,1,7.33,0.803,1
10,4,2,459.05,0.24,0,3.1,0.892,1
